Measure,Slot,VIBRA LEFT 1,VIBRA RIGHT 1,VIBRA LEFT 2,VIBRA RIGHT 2,VIBRA LEFT 3,VIBRA RIGHT 3,VIBRA LEFT 4,VIBRA RIGHT 4,VIBRA LEFT 5,VIBRA RIGHT 5,VIBRA LEFT 6,VIBRA RIGHT 6,VIBRA LEFT 7,VIBRA RIGHT 7,VIBRA LEFT 8,VIBRA RIGHT 8,VIBRA LEFT 9,VIBRA RIGHT 9,VIBRA LEFT 10,VIBRA RIGHT 10,VIBRA LEFT 11,VIBRA RIGHT 11,CYMBAL L,CYMBAL R,KICK L,KICK R,SNARE L,SNARE R,HIHAT L,HIHAT R,BASS L 1,BASS R 1,BASS L 2,BASS R 2,BASS L 3,BASS R 3,BASS L 4,BASS R 4
,227,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,228,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,229,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,
,231,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,
,232,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,
BEAT,233,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,
,234,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,
,235,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,
,236,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,
BEAT,237,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,
,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,
,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,
,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,
BAR,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,
,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,
,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE
